"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_RAW__0SDV_20240101T005942_20240101T010015_051906_064573_C957","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","484","2024-01-01T01:00:15.186348Z","2024-01-01T00:59:42Z","RAW","2024-01-01T00:59:42Z","2024-01-01T01:00:15Z","32.1551","75.3739","33.2609","74.2713","31.3041","73.8869","32.9925","76.888","31.0357","76.4469","","DESCENDING","https://datapool.asf.alaska.edu/RAW/SA/S1A_IW_RAW__0SDV_20240101T005942_20240101T010015_051906_064573_C957.zip","1539.3943548202515","","","0","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1A_IW_RAW__0SDV_20240101T005942_20240101T010015_051906_064573_C957","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","484","2024-01-01T01:00:15.186348Z","2024-01-01T00:59:42Z","METADATA_RAW","2024-01-01T00:59:42Z","2024-01-01T01:00:15Z","32.1551","75.3739","33.2609","74.2713","31.3041","73.8869","32.9925","76.888","31.0357","76.4469","","DESCENDING","https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_IW_RAW__0SDV_20240101T005942_20240101T010015_051906_064573_C957.iso.xml","0.039666175842285156","","","0","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","484","2024-01-01T01:00:12.855656Z","2024-01-01T00:59:45Z","SLC","2024-01-01T00:59:45Z","2024-01-01T01:00:12Z","32.391","75.2616","32.993225","76.780594","33.398125","74.08358","31.368397","76.409004","31.775488","73.762138","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB.zip","7437.703749656677","","","0","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","484","2024-01-01T01:00:12.855656Z","2024-01-01T00:59:45Z","METADATA_SLC","2024-01-01T00:59:45Z","2024-01-01T01:00:12Z","32.391","75.2616","32.993225","76.780594","33.398125","74.08358","31.368397","76.409004","31.775488","73.762138","","DESCENDING","https://datapool.asf.alaska.edu/METADATA_SLC/SA/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB.iso.xml","0.06493377685546875","","","0","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1A_IW_GRDH_1SDV_20240101T005946_20240101T010011_051906_064573_3933","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","484","2024-01-01T01:00:11.484818Z","2024-01-01T00:59:46Z","METADATA_GRD_HD","2024-01-01T00:59:46Z","2024-01-01T01:00:11Z","32.4196","75.2286","32.965908","76.715919","33.371761","74.004135","31.451544","76.424393","31.86104","73.756859","","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20240101T005946_20240101T010011_051906_064573_3933.iso.xml","0.05630970001220703","","","0","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1A_IW_GRDH_1SDV_20240101T005946_20240101T010011_051906_064573_3933","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","484","2024-01-01T01:00:11.484818Z","2024-01-01T00:59:46Z","GRD_HD","2024-01-01T00:59:46Z","2024-01-01T01:00:11Z","32.4196","75.2286","32.965908","76.715919","33.371761","74.004135","31.451544","76.424393","31.86104","73.756859","","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20240101T005946_20240101T010011_051906_064573_3933.zip","1647.8699359893799","","","0","S1A_IWDV_0484_0490_051906_034","","","","","","","","","","",""
"S1_071767_IW3_20240101T010005_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:06Z","2024-01-01T01:00:09Z","32.07739727071528","74.26867748469462","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VV/7.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71767","111489081","034_071767_IW3","7","2024-01-01T01:00:05Z","2442.3474298822","24617","IW3"
"S1_071767_IW3_20240101T010005_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:06Z","2024-01-01T01:00:09Z","32.07739727071528","74.26867748469462","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW3/VH/7.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71767","111489081","034_071767_IW3","7","2024-01-01T01:00:05Z","2442.3474298822","24617","IW3"
"S1_071767_IW2_20240101T010004_VV_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:05Z","2024-01-01T01:00:08Z","32.00648973454463","75.14467285342255","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VV/6.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71767","111489081","034_071767_IW2","6","2024-01-01T01:00:04Z","2441.3915958822","25482","IW2"
"S1_071767_IW2_20240101T010004_VH_F2DB-BURST","SENTINEL-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51906","34","","","","BURST","2024-01-01T01:00:05Z","2024-01-01T01:00:08Z","32.00648973454463","75.14467285342255","","","","","","","","","","DESCENDING","https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20240101T005945_20240101T010012_051906_064573_F2DB/IW2/VH/6.tiff","","","","","S1A_IWDV_0484_0490_051906_034","","","","71767","111489081","034_071767_IW2","6","2024-01-01T01:00:04Z","2441.3915958822","25482","IW2"
